Open,High,Low,Close,Volume_sum,ret_1q,vol_4q,max_drawdown_4q,ma4_ratio
6200,6600,5100,5600,32635302,-0.0743801652892561,0.165485513749695,-0.0894308943089431,-0.0196936542669584
5550,6175,4350,4485,20743054,-0.1991071428571428,0.1827645089386114,-0.2586776859504132,-0.1531744158602784
4540,4975,3680,3795,9488322,-0.1538461538461538,0.1778673247935641,-0.3727272727272727,-0.2383341695935775
3875,4645,3875,4125,6796376,0.0869565217391303,0.1257537589727688,-0.2633928571428571,-0.0835878922521521
4135,6155,3850,5845,21078412,0.416969696969697,0.2822760188534359,0.0,0.2810958904109588
5894,6145,4515,6065,19263556,0.0376390076988879,0.2372965648092283,0.0,0.2233988905698436
6100,9550,0,9200,84289448,0.5169002473206925,0.2380059072627842,0.0,0.4582920546859521
0,9200,0,6080,18690674,-0.3391304347826087,0.3905125236196939,-0.3391304347826087,-0.105553512320706
12250,15700,10750,12200,16277646,0.0,0.2328912110249306,0.0,0.1830303030303031
12250,13600,10050,11600,7803033,-0.0491803278688525,0.2425314728827571,-0.0491803278688525,0.0462232243517475
11600,16400,11300,13200,38916381,0.1379310344827586,0.2298250019648639,0.0,0.0731707317073171
13050,13550,11100,12900,6226302,-0.0227272727272727,0.0834074944531284,-0.0227272727272727,0.034068136272545
12900,12900,8950,10450,3577976,-0.189922480620155,0.1344036322028239,-0.2083333333333333,-0.1318795430944963
10400,11300,7680,7910,2524308,-0.2430622009569377,0.1726703054256687,-0.4007575757575757,-0.288349077822762
7990,10000,6550,6930,1829049,-0.1238938053097344,0.0949215060883302,-0.4627906976744186,-0.2741555380989787
6950,9500,6550,6940,7452605,0.0014430014430013,0.1054741592424106,-0.3358851674641148,-0.1386906608749611
6940,10650,6430,10090,3651031,0.4538904899135447,0.3046828529512705,0.0,0.266394728584876
10000,10220,8450,9300,5880067,-0.0782953419226957,0.2655045385095662,-0.0782953419226957,0.1184606133493686
9220,10200,8420,8910,6788780,-0.0419354838709677,0.2488868252469844,-0.1169474727452923,0.0113507377979569
8910,11880,8000,11330,7274114,0.271604938271605,0.2556614004073441,0.0,0.1435780974009588
3955,4480,3805,4180,24646205,0.0636132315521629,0.1894564986895252,0.0,0.0735152487961476
4170,4925,4075,4420,20753416,0.0574162679425838,0.1303967051219075,0.0,0.0593169562612343
4445,4870,3470,3640,25469369,-0.1764705882352941,0.1132500113585226,-0.1764705882352941,-0.0995670995670995
3640,4160,3140,3455,13069993,-0.0508241758241758,0.1129087534250977,-0.2183257918552036,-0.1194647977062759
3460,4080,3110,3600,14243596,0.0419681620839362,0.107537057838016,-0.1855203619909502,-0.0473040026463777
3600,3930,2715,2850,8466484,-0.2083333333333333,0.1156820838907989,-0.217032967032967,-0.158361018826135
2865,3145,2075,2250,3195824,-0.2105263157894736,0.124275713409048,-0.375,-0.2595639654463184
2260,3560,2155,2910,28576403,0.2933333333333332,0.2406826314382666,-0.1916666666666666,0.0025839793281654
2930,5020,2670,4355,25936330,0.4965635738831615,0.3586673356776485,0.0,0.4088152042054185
4440,5410,3525,3735,73834757,-0.1423650975889782,0.3413041300620865,-0.1423650975889782,0.1275471698113208
3770,3935,2600,2720,13048446,-0.2717536813922356,0.3612180372475013,-0.3754305396096441,-0.2069970845481049
2720,3140,2275,2845,14486949,0.0459558823529411,0.3359977811991863,-0.346727898966705,-0.1666056389600878
12350,22550,12050,15900,34244623,0.2926829268292683,0.2184876244993475,0.0,0.3607188703465982
15900,18400,14100,16600,7616600,0.0440251572327043,0.1076743982346383,0.0,0.2127853881278538
16700,17400,14100,17200,4294512,0.036144578313253,0.1316040639281296,0.0,0.1096774193548386
20600,21500,15900,17600,3839431,-0.1414634146341463,0.1363879996700202,-0.1414634146341463,-0.0208623087621696
17450,20200,11700,12550,4424346,-0.2869318181818182,0.2085022602440012,-0.3878048780487805,-0.2601326455416359
12600,18150,11750,12950,8396117,0.0318725099601593,0.2079233841227033,-0.3682926829268292,-0.1855345911949685
12700,14870,12080,14120,4140872,0.1118110236220473,0.1728334649284139,0.0,0.0795107033639144
14130,16300,12480,12540,5307710,-0.1118980169971671,0.0937593927201373,-0.1118980169971671,-0.0411011278914165
12540,17760,10630,14750,11288933,0.1762360446570972,0.1294921951655216,0.0,0.0903714655331731
43850,45550,30350,32200,18623280,-0.2597701149425288,0.7243919741660153,-0.2597701149425288,-0.1529102268990463
32400,36850,28000,32600,11144906,0.0124223602484472,0.1645779234917734,-0.2505747126436781,-0.1135282121006118
32450,37650,28800,34300,22356559,0.0521472392638036,0.1669891730542497,-0.2114942528735632,-0.037868162692847
33950,39000,30750,36800,33526648,0.0728862973760933,0.1548401138539127,0.0,0.083149374540103
