stock_code,year,current_assets,current_liabilities,equity,capital,retained_earnings,net_working_capital,capital_impairment_ratio,is_capital_impaired,is_full_impairment,retained_earnings_deficit,audit_penalty_final,admin_designated,delisted,delisting_warning
361570,2022,51091092995.0,41739766684.0,4809096500.0,4809096500.0,12592753353.0,9351326311.0,0.0,0,0,0,0.0,0,0,0
361570,2023,58582799718.0,82322060362.0,14394193500.0,14394193500.0,5911703398.0,-23739260644.0,0.0,0,0,0,0.0,0,0,0
361570,2024,42884720119.0,72481609952.0,14448193500.0,14448193500.0,-3281271105.0,-29596889833.0,0.0,0,0,1,0.0,0,0,0
361570,2025,32960967830.0,91077885615.0,14448193500.0,14448193500.0,-6952823099.0,-58116917785.0,0.0,0,0,1,,0,0,0
317690,2020,55625080014.0,2124835150.0,7327462000.0,7327462000.0,-124275171538.0,53500244864.0,0.0,0,0,1,0.0,0,0,0
317690,2021,55046006634.0,2519982980.0,8238405500.0,8238405500.0,-142133486903.0,52526023654.0,0.0,0,0,1,0.0,0,0,0
317690,2022,35852540101.0,4117926160.0,8239705500.0,8239705500.0,-160806840767.0,31734613941.0,0.0,0,0,1,0.0,0,0,0
317690,2023,13995558197.0,3037949547.0,8268705500.0,8268705500.0,-182690911863.0,10957608650.0,0.0,0,0,1,0.0,0,0,0
317690,2024,19186995202.0,3544913040.0,8271205500.0,8271205500.0,-202901084027.0,15642082162.0,0.0,0,0,1,0.0,0,0,0
317690,2025,18344242426.0,18929776582.0,9072144500.0,9072144500.0,-212999039898.0,-585534156.0,0.0,0,0,1,,0,0,0
183490,2017,24527647717.0,9874467288.0,3417687500.0,3417687500.0,-46007895067.0,14653180429.0,0.0,0,0,1,0.0,0,0,0
183490,2018,50223760284.0,6440894033.0,3864366000.0,3864366000.0,-60923477036.0,43782866251.0,0.0,0,0,1,0.0,0,0,0
183490,2019,63236294574.0,7498916998.0,4096918500.0,4096918500.0,-77789573491.0,55737377576.0,0.0,0,0,1,0.0,0,0,0
183490,2020,104998820775.0,9783831404.0,4147656500.0,4147656500.0,-95176353400.0,95214989371.0,0.0,0,0,1,0.0,0,0,0
183490,2021,109783111978.0,53620511593.0,4355241000.0,4355241000.0,-124664897349.0,56162600385.0,0.0,0,0,1,0.0,0,0,0
183490,2022,220312757517.0,42284411133.0,42413781000.0,42413781000.0,-151053248360.0,178028346384.0,0.0,0,0,1,0.0,0,0,0
183490,2023,174475031331.0,14154097238.0,42532781000.0,42532781000.0,41910074170.0,160320934093.0,0.0,0,0,0,0.0,0,0,0
183490,2024,148230247322.0,11374846566.0,42532781000.0,42532781000.0,19529590308.0,136855400756.0,0.0,0,0,0,0.0,0,0,0
183490,2025,140048020511.0,8098283088.0,42532781000.0,42532781000.0,14573141273.0,131949737423.0,0.0,0,0,0,,0,0,0
334890,2020,5742518047.0,18585336.0,24000000000.0,24000000000.0,37065284620.0,5723932711.0,0.0,0,0,0,0.0,0,0,0
334890,2021,5736291722.0,893089159.0,24000000000.0,24000000000.0,56991852383.0,4843202563.0,0.0,0,0,0,0.0,0,0,0
334890,2022,10627523324.0,605507370.0,36745335000.0,36745335000.0,101556062194.0,10022015954.0,0.0,0,0,0,0.0,0,0,0
334890,2023,66957914354.0,154513272079.0,51443469000.0,51443469000.0,156116082195.0,-87555357725.0,0.0,0,0,0,0.0,0,0,0
334890,2024,63404581629.0,61710488749.0,51443469000.0,51443469000.0,172558030619.0,1694092880.0,0.0,0,0,0,0.0,0,0,0
334890,2025,23448738878.0,194743666724.0,51443469000.0,51443469000.0,142551189065.0,-171294927846.0,0.0,0,0,0,0.0,0,0,0
018500,2016,160941406021.0,308394094448.0,63811991942.0,,36616589416.0,-147452688427.0,,0,0,0,0.0,0,0,0
018500,2017,159121865555.0,322036341618.0,58956784817.0,,32442889401.0,-162914476063.0,,0,0,0,0.0,0,0,0
018500,2018,166051504903.0,353938388030.0,23377466500.0,23377466500.0,26750148224.0,-187886883127.0,0.0,0,0,0,0.0,0,0,0
018500,2019,129337956774.0,317683896623.0,23377466500.0,23377466500.0,-2216854186.0,-188345939849.0,0.0,0,0,1,0.0,0,0,0
018500,2020,170789461467.0,326370222393.0,23377466500.0,23377466500.0,17453776760.0,-155580760926.0,0.0,0,0,0,0.0,0,0,0
018500,2021,159156293335.0,312254766593.0,23377466500.0,23377466500.0,-13848885350.0,-153098473258.0,0.0,0,0,1,0.0,0,0,0
018500,2022,154084068667.0,295469088481.0,23377466500.0,23377466500.0,11894070759.0,-141385019814.0,0.0,0,0,0,0.0,0,0,0
018500,2023,185219830046.0,303611966575.0,23377466500.0,23377466500.0,32712715758.0,-118392136529.0,0.0,0,0,0,0.0,0,0,0
018500,2024,167969050036.0,235215647661.0,23377466500.0,23377466500.0,49085466853.0,-67246597625.0,0.0,0,0,0,0.0,0,0,0
018500,2025,187026469672.0,238882092784.0,23377466500.0,23377466500.0,63532885056.0,-51855623112.0,0.0,0,0,0,0.0,0,0,0
159010,2021,46963204394.0,42239460400.0,2222456500.0,2222456500.0,23828835704.0,4723743994.0,0.0,0,0,0,0.0,0,0,0
159010,2022,61438858665.0,50421519311.0,6667369500.0,6667369500.0,32656438173.0,11017339354.0,0.0,0,0,0,0.0,0,0,0
159010,2023,79949749958.0,61706876201.0,6667369500.0,6667369500.0,35836095344.0,18242873757.0,0.0,0,0,0,0.0,0,0,0
159010,2024,87478478647.0,63844914632.0,6667369500.0,6667369500.0,33921575397.0,23633564015.0,0.0,0,0,0,0.0,0,0,0
159010,2025,79588959484.0,62498784759.0,6667369500.0,6667369500.0,26690987377.0,17090174725.0,0.0,0,0,0,,0,0,0
192400,2016,337063654667.0,115344994297.0,567342137921.0,,575692339665.0,221718660370.0,,0,0,0,0.0,0,0,0
